model,task,target,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
cae_1000,gap_filling,adenine,0.6497102125985155,0.45953592848966096,0.7319827963734494,0.5478797174617208,0.19380308053535428,0.6834034841331391,0.11570056389730422,0.049434540602039244,357.53559322033897,16.45762711864407,129.66101694915255,7.216949152542373
cae_1000,gap_filling,all_nucleotides,0.6759386163160781,0.4489978171231979,0.4032662922545214,0.37848493972204855,,,,,,,,
cae_1000,gap_filling,cytosine,0.6643787824932477,0.4149124241906186,0.8075517011291544,0.557143340326594,0.2040075525182657,0.8042540698322115,0.12247597681207026,0.02879968948799288,398.6474576271186,13.898305084745763,95.08474576271186,3.240677966101695
cae_1000,gap_filling,guanine,0.6603427092289013,0.41313546388284916,0.8078807419396837,0.5601410593210603,0.21528694632034362,0.7560521429625983,0.13211231277250432,0.04158061319661237,397.7661016949153,14.979661016949153,93.43389830508474,4.691525423728813
cae_1000,gap_filling,thymine,0.643034525966119,0.45766487433569447,0.7288807286241833,0.5477240324516703,0.1967665364621005,0.6579548741050172,0.11814626081692584,0.05570744828885398,355.3050847457627,17.030508474576273,130.32542372881355,8.210169491525424
cae_1000,reconstruction,adenine,0.7456958704688802,0.5778719331051563,0.7545820086876239,0.5942987040043295,0.33652924745225793,0.7497997065910164,0.21816054635359736,0.0721521282837161,353662.74237288133,31842.803389830508,114686.1593220339,10679.481355932203
cae_1000,reconstruction,all_nucleotides,0.7643284480784798,0.5674469783732988,0.490681721368715,0.46843894407685943,,,,,,,,
cae_1000,reconstruction,cytosine,0.7698637208510453,0.5430215289658448,0.8237588632039459,0.6011512994020705,0.3360879759036901,0.8255763377116279,0.21569970933664354,0.04707365925505892,396759.7525423729,24052.098305084746,84746.26779661018,5313.067796610169
cae_1000,reconstruction,guanine,0.7535586039663823,0.5185412278012713,0.8184662816021212,0.5968538942827137,0.3259118895023222,0.7500415500183577,0.21368902899036032,0.070493950138276,394156.6745762712,23961.650847457626,84820.89830508475,7931.962711864407
cae_1000,reconstruction,thymine,0.7459412886239235,0.5841875417737753,0.7557841267398921,0.5997913103578529,0.35247571585548176,0.7405246544760452,0.23245853363364552,0.08060913438205987,352226.54576271184,33920.62372881356,112840.68474576272,11883.332203389831
