model,task,target,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
cae_500,gap_filling,adenine,0.5857951451714809,0.37633601957346363,0.7138206505333938,0.512205143461157,0.06912828861947432,0.5494080464973404,0.03718622827691211,0.0308503569096848,359.8132427843803,5.480475382003395,141.86247877758913,4.597623089983022
cae_500,gap_filling,all_nucleotides,0.6089247491496571,0.344650877129596,0.34493910736631617,0.32761814061679595,,,,,,,,
cae_500,gap_filling,cytosine,0.5973789992477265,0.3058911880432619,0.7889282154843799,0.504323114856489,0.019838118391118723,0.49979990298326465,0.010190735497999844,0.005597753071339848,402.5874363327674,1.1392190152801358,107.41086587436332,0.6162988115449916
cae_500,gap_filling,guanine,0.5907151738211674,0.2967437508222044,0.7861602124322848,0.5057752049273496,0.03145976792125376,0.4394642520279192,0.016442466452597646,0.018588921207759998,400.4855687606112,1.8319185059422751,107.46689303904924,1.9694397283531409
cae_500,gap_filling,thymine,0.5853686493489559,0.3692034538819651,0.7148890536308249,0.5045054533788239,0.02316381929479025,0.561781286059724,0.011911033205232738,0.007101174302572915,364.14431239388796,1.7232597623089982,144.83870967741936,1.0475382003395586
cae_500,reconstruction,adenine,0.8382292867088752,0.7213901653785982,0.8012132473346204,0.6852214569153683,0.5437896807332543,0.792801719991753,0.4138553916307675,0.10814093548923459,174589.51103565365,30422.81154499151,42968.0662139219,7896.521222410865
cae_500,reconstruction,all_nucleotides,0.866194422920589,0.7418001075503572,0.6045476605038788,0.5914079413561766,,,,,,,,
cae_500,reconstruction,cytosine,0.8818638048142752,0.746629756825147,0.8716524510366596,0.707732573949307,0.5834419736297872,0.9426882919416146,0.4224758750152432,0.02568738583583184,199980.11544991512,23053.522920203734,31439.64685908319,1403.6247877758913
cae_500,reconstruction,guanine,0.8617675800816279,0.6979627106713878,0.8554294920637149,0.6719382556892268,0.5093115182282949,0.9166859238606488,0.3526479289150982,0.032060997524707126,199636.32937181662,19246.522920203734,35238.775891341254,1755.2818336162989
cae_500,reconstruction,thymine,0.8656667579350587,0.7740121122184177,0.8263805433790132,0.7112126698670869,0.5931645879762035,0.9064242017917837,0.44084138093016934,0.045497630018270833,179027.09677419355,32427.584040747028,41079.97962648557,3342.2495755517825
