model,task,target,roc_auc_score,average_precision_score,accuracy_score,balanced_accuracy_score,f1_score,precision_score,recall_score,fall_out,true_negatives,true_positives,false_negatives,false_positives
cae_200,gap_filling,adenine,0.559757714568776,0.34043098749720463,0.6661037020614503,0.5271215381045503,0.2555494914978422,0.3550501881473517,0.2009162516606232,0.3690212052088869,311.50203804347825,29.50475543478261,117.53872282608695,53.39945652173913
cae_200,gap_filling,all_nucleotides,0.5799882058826933,0.3053080473543764,0.3182228724867283,0.31984343663294074,,,,,,,,
cae_200,gap_filling,cytosine,0.5629666161999242,0.2765975962038679,0.7668882762701519,0.5243869709609202,0.1574839602625794,0.3330429585174824,0.10443095596276701,0.20447055174470188,380.8607336956522,11.742527173913043,97.08967391304348,22.25203804347826
cae_200,gap_filling,guanine,0.6239102571331651,0.29319871473226056,0.6687945471057182,0.5626342359189835,0.3247398387606952,0.28858121018146765,0.3777912596657015,0.9703719497333674,301.12296195652175,41.26358695652174,67.61820652173913,101.94021739130434
cae_200,gap_filling,thymine,0.5615021450245896,0.3427655875261801,0.6823474057060095,0.5221421581644525,0.2090119428448054,0.3673749680188768,0.14688048895889955,0.25447066121386486,327.5563858695652,21.77241847826087,125.41508152173913,37.20108695652174
cae_200,reconstruction,adenine,0.9981772749114224,0.995351649079525,0.9816011830852005,0.9763408930646359,0.9671888286874994,0.9701743830626783,0.9642327443551278,0.029680524094765428,72174.49320652174,28330.646739130436,1036.59375,847.2608695652174
cae_200,reconstruction,all_nucleotides,0.9987893357547118,0.996680841875205,0.973112123001238,0.9722232518323942,,,,,,,,
cae_200,reconstruction,cytosine,0.9984812210386602,0.9952837358898038,0.9874600793104836,0.9768874352198756,0.970345680527341,0.9826202713902008,0.958382476267672,0.016950578969076997,80214.38994565218,20890.639945652172,914.7588315217391,369.2058423913044
cae_200,reconstruction,guanine,0.998719794337493,0.9957157762333751,0.986125284774289,0.9770073916896058,0.9671652052839262,0.9732531818860963,0.961156137398138,0.02641695608856819,80013.64877717392,20954.718070652172,847.6304347826087,572.9972826086956
cae_200,reconstruction,thymine,0.9994261623526769,0.9986876804638761,0.9910305362371615,0.9873222926766385,0.9841182924847176,0.9895244248093177,0.9787720147361634,0.010360698557991157,72674.13926630435,28796.47758152174,617.5292119565217,300.8485054347826
