loss,val_loss
879.7083799986225,798.0035383838718
749.2222465416052,704.7571735963983
692.8512024092906,690.9200993942002
669.7500807120678,717.7517474675583
656.7549285487871,653.543508342161
648.1297907792213,638.1513427734375
642.1058608048551,671.9949818756621
637.5117238510051,715.6968485169491
633.2526946618835,642.5992146120233
629.704614435794,719.0575739456435
626.6483959461711,635.8279245150292
623.8629614349503,615.826077942929
621.2929047425284,672.3164877681409
619.0444465570338,626.7626473119703
617.0676783277552,644.392631918697
615.1583766673967,631.038445320776
613.288520775998,612.2607003939354
611.589364298021,663.4694923530191
610.068594516998,606.0528651350636
608.6329274469947,691.3404427221266
607.013587199019,603.3513936705508
605.7119522581405,640.3034434173067
604.4276940216475,627.2030083090572
603.1759351381758,611.8073055978549
601.9559467134396,597.1322635973914
600.8521654017454,633.8441937980006
599.5782143437492,605.6159601761123
598.5963691736017,612.9029255495233
597.501431396004,690.2895143670551
596.5650674232833,596.5299835722325
595.4610370128615,598.501332221597
594.5506384788436,600.6243197166314
593.5844376092884,597.2503281415519
592.7861747743291,624.6072588387182
591.8688785179683,579.5784090721002
590.9534100002204,586.7498191704184
590.2057935550765,598.6438472424524
589.2312207755551,602.175383176642
588.485126034205,602.1725062483448
587.4482244436491,591.6214460987155
586.5952983281776,605.5049639168432
585.9018640910579,601.2242770954714
584.9110614918048,597.7024124404131
584.2969943950012,593.2270315396584
583.7085747768353,617.7493594412076
