Model,Weight,Win,Tie,Losses
CAE 1000,0,6.0,1.0,4.0
CAE 1000,10,7.0,4.0,0.0
CAE 1000,2,7.0,3.0,1.0
CAE 200,0,2.0,2.0,7.0
CAE 200,10,4.0,1.0,6.0
CAE 200,2,2.0,1.0,8.0
CAE 500,0,0.0,1.0,10.0
CAE 500,10,3.0,2.0,6.0
CAE 500,2,0.0,1.0,10.0
CNN 1000,0,8.0,3.0,0.0
CNN 200,0,6.0,5.0,0.0
CNN 500,0,7.0,4.0,0.0
