Train,Model,Win,Tie,Losses
Multivariate gaps,CAE 1000,4,4,3
Multivariate gaps,CAE 200,2,2,7
Multivariate gaps,CAE 500,1,1,9
Multivariate gaps,CNN 1000,7,2,2
Multivariate gaps,CNN 200,9,2,0
Multivariate gaps,CNN 500,8,3,0
Single gap,CAE 1000,4,4,3
Single gap,CAE 200,2,2,7
Single gap,CAE 500,0,1,10
Single gap,CNN 1000,4,4,3
Single gap,CNN 200,0,10,1
Single gap,CNN 500,4,7,0
