Model,Weight,Win,Tie,Losses
CAE 1000,0,0.0,11.0,0.0
CAE 1000,10,0.0,11.0,0.0
CAE 1000,2,0.0,11.0,0.0
CAE 200,0,0.0,11.0,0.0
CAE 200,10,0.0,11.0,0.0
CAE 200,2,0.0,11.0,0.0
CAE 500,0,0.0,11.0,0.0
CAE 500,10,0.0,11.0,0.0
CAE 500,2,0.0,11.0,0.0
CNN 1000,0,0.0,11.0,0.0
CNN 200,0,0.0,11.0,0.0
CNN 500,0,0.0,11.0,0.0
