None,Metric,Target,Mean
4,AUPRC,Adenine,0.39369323408188955
5,AUPRC,Cytosine,0.3439401208038703
6,AUPRC,Thymine,0.39639176955432665
7,AUPRC,Guanine,0.34163771458438214
