Metric,Train1,Train2,Win,Tie,Losses,Pvalue
Accuracy,Multivariate gaps,Single gap,1,0,0,0.02171022588763238
AUPRC,Multivariate gaps,Single gap,1,0,0,0.03864854688253792
AUROC,Multivariate gaps,Single gap,1,0,0,0.002950875415695835
