Train,Model,Win,Tie,Losses
Multivariate gaps,CAE 1000,2,6,3
Multivariate gaps,CAE 200,0,5,6
Multivariate gaps,CAE 500,0,7,4
Multivariate gaps,CNN 1000,6,4,1
Multivariate gaps,CNN 200,8,3,0
Multivariate gaps,CNN 500,8,3,0
Single gap,CAE 1000,3,5,3
Single gap,CAE 200,0,7,4
Single gap,CAE 500,0,9,2
Single gap,CNN 1000,1,9,1
Single gap,CNN 200,0,9,2
Single gap,CNN 500,0,9,2
