Metric,Train1,Train2,Win,Tie,Losses,Pvalue
Accuracy,Single gap,Multivariate gaps,0,1,0,0.3167407566408771
AUPRC,Single gap,Multivariate gaps,0,1,0,0.3613273432756863
AUROC,Single gap,Multivariate gaps,0,1,0,0.3422917565444237
