Train,Model,Win,Tie,Losses
Multivariate gaps,CAE 1000,3,5,3
Multivariate gaps,CAE 200,1,4,6
Multivariate gaps,CAE 500,0,4,7
Multivariate gaps,CNN 1000,7,2,2
Multivariate gaps,CNN 200,9,2,0
Multivariate gaps,CNN 500,10,1,0
Single gap,CAE 1000,4,3,4
Single gap,CAE 200,1,5,5
Single gap,CAE 500,0,2,9
Single gap,CNN 1000,5,4,2
Single gap,CNN 200,0,8,3
Single gap,CNN 500,2,8,1
