Train,Model,Win,Tie,Losses
Multivariate gaps,CAE 1000,0,1,4
Multivariate gaps,CAE 200,4,1,0
Multivariate gaps,CAE 500,3,0,2
Single gap,CAE 1000,0,1,4
Single gap,CAE 200,4,1,0
Single gap,CAE 500,2,0,3
