Train,Model,Win,Tie,Losses
Multivariate gaps,CAE 1000,1,7,3
Multivariate gaps,CAE 200,0,7,4
Multivariate gaps,CAE 500,0,5,6
Multivariate gaps,CNN 1000,8,2,1
Multivariate gaps,CNN 200,8,3,0
Multivariate gaps,CNN 500,9,2,0
Single gap,CAE 1000,2,4,5
Single gap,CAE 200,0,6,5
Single gap,CAE 500,0,4,7
Single gap,CNN 1000,5,5,1
Single gap,CNN 200,0,8,3
Single gap,CNN 500,4,5,2
