Metric,Train1,Train2,Win,Tie,Losses,Pvalue
Accuracy,Single gap,Multivariate gaps,0,0,1,0.00017892220448505292
AUPRC,Single gap,Multivariate gaps,0,0,1,0.0006533971659772214
AUROC,Single gap,Multivariate gaps,0,0,1,0.0009239298185665981
