None,Metric,Target,Mean
4,AUPRC,Adenine,0.5042338660137541
5,AUPRC,Cytosine,0.4736082834136188
6,AUPRC,Thymine,0.5094236929791351
7,AUPRC,Guanine,0.46825299258163433
