Metric,Train1,Train2,Win,Tie,Losses,Pvalue
Accuracy,Multivariate gaps,Single gap,1,0,0,2.352499062491537e-06
AUPRC,Multivariate gaps,Single gap,1,0,0,0.0002924517392498051
AUROC,Multivariate gaps,Single gap,1,0,0,0.0001301536115369823
