,Model,Win,Tie,Losses
0,CAE 1000,2,0,3
1,CAE 200,1,0,4
2,CAE 500,0,0,5
3,CNN 1000,3,2,0
4,CNN 200,3,1,1
5,CNN 500,4,1,0
