Metric,Train1,Train2,Win,Tie,Losses,Pvalue
Accuracy,Single gap,Multivariate gaps,0,1,0,0.5171006897852737
AUPRC,Single gap,Multivariate gaps,0,1,0,0.46163314928530097
AUROC,Single gap,Multivariate gaps,0,1,0,0.4096557792251261
