Metric,Model,Win,Tie,Losses,Pvalue
Accuracy,CNN 1000 VS CAE 1000,1,0,0,0.0051773054948616925
AUPRC,CNN 1000 VS CAE 1000,1,0,0,2.9029241955217862e-06
AUROC,CNN 1000 VS CAE 1000,1,0,0,1.7090065469658576e-06
