,Model,Win,Tie,Losses
0,CAE 1000,2,1,2
1,CAE 200,0,1,4
2,CAE 500,0,1,4
3,CNN 1000,3,2,0
4,CNN 200,2,3,0
5,CNN 500,3,2,0
