loss,val_loss
1961.766487394203,1921.8898002005913
1897.5711003025942,1877.5495638460727
1848.1202661584482,1821.3667874722867
1802.3009367722805,1780.31623881572
1770.7773854418122,1750.9444687302048
1747.5791008011238,1719.5599076554581
1726.3410611949,1706.337505443676
1710.41784152654,1680.8292071368244
1700.1746402582812,1670.0263605891048
1692.8269660523506,1683.554907721442
1687.5234927016195,1676.4387124551308
1683.4458070220649,1652.072673075908
1679.7144312410462,1682.9660067171665
1676.4084134886277,1649.1300807643581
1673.6118041294087,1657.4935830605996
1670.9916387214785,1664.6613579827385
1668.7048169431414,1652.068900443412
1666.6512469338722,1648.6131228885135
1664.7417769190486,1644.874820193729
1663.002753369474,1653.3149760478252
1661.213430130452,1658.9609210040119
1659.528187584093,1653.3079025680954
1657.6327499059018,1645.8860622096706
1655.642580125742,1705.4719353753167
1653.501058471324,1630.6583449904983
1651.3532313503779,1642.3024160024281
1649.435116836097,1637.5407945787586
1647.29231011338,1662.4379330196896
1645.3529984424624,1643.6696463919975
1643.6436446489563,1635.3130361196156
1641.8238307513736,1646.6486973118137
1640.0807614024638,1633.1084495750633
1638.4665145679498,1686.031362997519
1637.0053512215347,1621.0231051058383
1635.7429976754438,1714.7173329946156
1634.2990198123327,1608.822150977882
1632.9306601888286,1620.9103624498523
1631.861295966299,1618.790993355416
1630.67490670821,1612.9409633327175
1629.4699217586349,1660.2732255265519
1628.1724163744154,1613.1413904138512
1627.0345365628139,1603.7688103753167
1625.6250420561405,1606.1311018660263
1623.855916412954,1618.4540726945206
1620.797788596412,1629.5555617873733
1618.7300316380595,1596.4100589236698
1616.7793489625217,1614.2892307590794
1615.0880682635138,1603.8096552668392
1613.3967054590962,1587.7821267617715
1611.8488949158157,1606.569723593222
1609.9715810896926,1704.5422957136825
1607.7110386965996,1596.5563643171981
1606.4325761380849,1697.141072866079
1604.6059280685802,1598.2955017089844
1602.1625688503261,1604.6332851100613
1598.5968652553406,1594.217501253695
1594.3208226519537,1572.112417685019
1590.7767594356635,1573.0624364904456
1587.241587802656,1600.1931441023544
1578.9977614223947,1640.4742373904667
1573.7098894629635,1555.0988555083404
1570.7729121672132,1582.1399437156883
1568.1656497229576,1552.6789897197002
1565.7655891048141,1596.9612237053948
1563.6956554821593,1572.34518680057
1561.5479281810804,1552.3158965239654
1559.9893122313813,1555.956623799092
1558.2528128185575,1628.0481163231102
1556.6990110098616,1586.9947542757602
1555.16279029163,1580.5486623403187
1554.062667754144,1536.9158407675254
1552.8722765287143,1585.2294591955238
1551.35442720742,1536.9118602855785
1550.303649675337,1553.3225897711677
1549.093046496358,1539.8149117134712
1548.019478636176,1563.4647315772804
1546.8710813349805,1574.089819830817
1545.9179552636278,1570.8386164484798
1545.0300996317358,1521.7781866949958
1544.0145143704879,1566.494733655775
1543.2050322598154,1614.4356623469173
1542.3561865674599,1559.0779262233425
1541.9015248784451,1526.809529897329
1540.7405508219335,1544.4507833944785
1540.151900240679,1523.789084769584
1539.2608191073136,1522.5857230521538
1538.540786337024,1674.3943423709354
1537.8877211607114,1525.5826597471496
1537.1756709418542,1524.0416037069785
